"wool_color_id","wool_color_name"
6,"Rosa bebé 03"
8,"Rosa nude 60"
9,"Rosa viejo 30"
10,"Rosa granate"
11,"Fucsia 39"
12,"Rosa flúor 247"
13,"Rojo borravino 2979"
14,"Rojo sangre 08"
16,"Mandarina 197"
17,"Salmón 28"
18,"Naranja 17"
19,"Ladrillo 10"
20,"Amarillo patito 02"
21,"Maíz 154"
22,"Mostaza 3563"
23,"Amarillo oro 16"
24,"Blanco 01"
25,"Crudo 37"
26,"Beige claro 05"
27,"Beige 20"
28,"Caramelo 21"
29,"Chocolate 22"
31,"Visón 107"
32,"Terracota 405"
33,"Verde agua 06"
34,"Verde militar 191"
36,"Verde ingles 24"
37,"Verde azulino 237"
38,"Verde oliva 09"
39,"Verde hoja 62"
40,"Celeste bebé 04"
41,"Celeste bandera 14"
42,"Acuamarina 07"
43,"Azul aeronáutico 38"
44,"Azul marino 12"
45,"Turquesa 15"
46,"Azul Francia 66"
47,"Azul verdoso 65"
48,"Negro 19"
49,"Gris suave 43"
50,"Gris medio 45"
51,"Gris topo 50"
52,"Azul noche 218"
53,"Amarillo limón"
54,"Verde manzana"
55,"Durazno 121"
56,"Ovispo 67"
57,"Lila 61"
58,"Lila intermedio 81"
59,"Bordó 25"
60,"Rosa chicle 40"
